"Run.order","Sample"
1,6
2,4
3,10
4,22
5,37
6,31
7,13
8,5
9,35
10,15
11,38
12,36
13,40
14,1
15,19
16,28
17,29
18,17
19,20
20,30
21,25
22,33
23,43
24,46
25,14
26,42
27,11
28,45
29,7
30,24
31,2
32,8
33,39
34,16
35,27
36,34
37,21
38,18
39,44
40,3
41,32
42,12
43,23
44,9
45,26
46,41
